AÑO,ARTICULO,GRAMOS_PERSONA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,ZONA
2024,Carnes 1_ /                                       ,14,0.1162,0.1168,0.117,0.1176,0.1171,0.1153,0.1174,0.1178,0.1176,0.1178,0.1173,0.1171,Rural
2024,Grasas 2 _ /                                      ,14,0.0501,0.0497,0.0499,0.0502,0.0499,0.0498,0.0497,0.0489,0.0488,0.0485,0.0486,0.0487,Rural
2024,Huevos                                            ,30,0.1216,0.1205,0.1179,0.1169,0.1167,0.1165,0.114,0.1151,0.116,0.1159,0.1171,0.1162,Rural
2024,Leche Fluida *                                    ,31,0.0325,0.0347,0.0325,0.0338,0.0355,0.0355,0.0336,0.0336,0.0332,0.0332,0.0336,0.0336,Rural
2024,Frutas 3_ /                                       ,16,0.0179,0.018,0.0174,0.0181,0.0168,0.018,0.0178,0.0189,0.0176,0.0173,0.017,0.0166,Rural
2024,Frijoles                                          ,60,0.1705,0.1694,0.1669,0.1697,0.1701,0.1688,0.17,0.1691,0.1651,0.1583,0.1571,0.1589,Rural
2024,Azúcar                                            ,65,0.0738,0.0742,0.0743,0.0743,0.0749,0.0749,0.0752,0.0751,0.0751,0.0752,0.0753,0.0751,Rural
2024,Costo diario por persona                          ,0,13168.0,13172.0,13019.0,12854.0,12739.0,12750.0,12829.0,12613.0,12535.0,12472.0,12464.0,12733.0,Rural
2024,más 10% (cocción)                                 ,0,14485.0,14489.0,14321.0,14139.0,14013.0,14025.0,14111.0,13874.0,13788.0,13720.0,13711.0,14006.0,Rural
2024,Costo diario por familia de 4.26 miembros         ,0,61705.0,61722.0,61007.0,60232.0,59694.0,59745.0,60115.0,59105.0,58738.0,58446.0,58408.0,59666.0,Rural
2024,Costo mensual por familia**                       ,0,1851154.0,1851664.0,1830198.0,1806959.0,1790809.0,1792342.0,1803448.0,1773143.0,1762131.0,1753366.0,1752226.0,1789994.0,Rural
2025,,,,,,,,,,,,,,,Rural
2025,Tortillas                                         ,402,0.6511,0.6567,0.6416,0.6482,0.6499,0.6835,0.7263,0.7181,0.7241,0.7171,0.6826,0.6788,Rural
2025,Arroz                                             ,39,0.0615,0.0618,0.0613,0.0609,0.062,0.0613,0.0611,0.0612,0.0611,0.0612,0.0607,0.0609,Rural
2025,Carnes 1_ /                                       ,14,0.1175,0.1177,0.1187,0.1183,0.1184,0.1184,0.1184,0.1192,0.1197,0.1194,0.121,0.1209,Rural
2025,Grasas 2 _ /                                      ,14,0.0482,0.0489,0.0492,0.0496,0.0491,0.0493,0.0497,0.0494,0.0496,0.0503,0.0495,0.0496,Rural
2025,Huevos                                            ,30,0.1131,0.1113,0.1075,0.1067,0.1111,0.1122,0.1112,0.1125,0.1127,0.112,0.1125,0.1117,Rural
2025,Leche Fluida *                                    ,31,0.0343,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.0362,0.0362,0.0362,Rural
2025,Frutas 3_ /                                       ,16,0.0173,0.0182,0.0174,0.0174,0.0173,0.0167,0.0175,0.0174,0.017,0.0168,0.0167,0.0169,Rural
2025,Frijoles                                          ,60,0.1624,0.1639,0.1622,0.1614,0.1614,0.1616,0.163,0.1599,0.1645,0.1644,0.1642,0.1627,Rural
2025,Azúcar                                            ,65,0.0748,0.0748,0.0746,0.0744,0.0747,0.0752,0.0754,0.0749,0.0748,0.0748,0.0748,0.0748,Rural
2025,Costo diario por persona                          ,0,12802.0,12879.0,12671.0,12716.0,12786.0,13129.0,13572.0,13473.0,13582.0,13523.0,13182.0,13124.0,Rural
2025,más 10% (cocción)                                 ,0,14082.0,14166.0,13938.0,13988.0,14065.0,14442.0,14929.0,14820.0,14940.0,14876.0,14500.0,14436.0,Rural
2025,Costo diario por familia de 4.26 miembros         ,0,59990.0,60349.0,59376.0,59588.0,59916.0,61523.0,63599.0,63135.0,63646.0,63370.0,61769.0,61499.0,Rural
2025,Costo mensual por familia**                       ,0,1799692.0,1810468.0,1781277.0,1787644.0,1797495.0,1845689.0,1907977.0,1894044.0,1909377.0,1901095.0,1853069.0,1844957.0,Rural
2026,,,,,,,,,,,,,,,Rural
2026,Tortillas                                         ,402,0.6708,0.6726,0.6803,0.6864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rural
2026,Arroz                                             ,39,0.0609,0.0609,0.0609,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rural
2026,Carnes 1_ /                                       ,14,0.1205,0.121,0.1225,0.1243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rural
2026,Grasas 2 _ /                                      ,14,0.0496,0.0497,0.0503,0.0507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rural
2026,Huevos                                            ,30,0.1114,0.1118,0.1127,0.1127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rural
2026,Leche Fluida *                                    ,31,0.0362,0.0374,0.0374,0.0374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rural
2026,Frutas 3_ /                                       ,16,0.0169,0.0172,0.018,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rural
2026,Frijoles                                          ,60,0.1625,0.1602,0.1615,0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rural
2026,Azúcar                                            ,65,0.0748,0.0748,0.0756,0.0751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rural
2026,Costo diario por persona                          ,0,13037.0,13055.0,13192.0,13238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rural
2026,más 10% (cocción)                                 ,0,14340.0,14361.0,14511.0,14562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rural
2026,Costo diario por familia de 4.26 miembros         ,0,61089.0,61177.0,61817.0,62034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rural
2026,Costo mensual por familia**                       ,0,1832681.0,1835298.0,1854523.0,1861017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rural
