AÑO,ARTICULO,GRAMOS_PERSONA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,ZONA
2022,Verduras 4_ /                                     ,127,0.1883,0.1876,0.1947,0.1984,0.2163,0.2329,0.2271,0.2288,0.2217,0.2206,0.2139,0.2063,Urbana
2022,Azúcar                                            ,69,0.0776,0.0777,0.0783,0.0779,0.0778,0.0788,0.0784,0.0776,0.0778,0.0785,0.0783,0.0775,Urbana
2022,Costo diario por persona                          ,0,17339.0,17503.0,17950.0,18187.0,18473.0,19130.0,19393.0,19413.0,19327.0,19487.0,19550.0,19528.0,Urbana
2022,más 10% (cocción)                                 ,0,19073.0,19253.0,19745.0,20006.0,20321.0,21043.0,21333.0,21354.0,21260.0,21436.0,21505.0,21480.0,Urbana
2022,Costo diario por familia de 3.73 miembros         ,0,71142.0,71815.0,73649.0,74621.0,75796.0,78490.0,79571.0,79650.0,79298.0,79955.0,80214.0,80122.0,Urbana
2022,Costo mensual por familia**                       ,0,2134261.0,2154453.0,2209461.0,2238628.0,2273877.0,2354694.0,2387118.0,2389509.0,2378948.0,2398664.0,2406423.0,2403664.0,Urbana
2023,,,,,,,,,,,,,,,Urbana
2023,Pan Francés                                       ,49,0.1624,0.1779,0.1752,0.1697,0.1671,0.1774,0.1727,0.1756,0.1762,0.1666,0.1727,0.1746,Urbana
2023,Tortillas                                         ,223,0.2574,0.2569,0.2616,0.2655,0.2622,0.2622,0.2719,0.2603,0.2689,0.2712,0.2601,0.2507,Urbana
2023,Arroz                                             ,55,0.0838,0.0842,0.0838,0.0834,0.083,0.0837,0.0852,0.0846,0.0846,0.0844,0.0852,0.0846,Urbana
2023,Carnes 1_ /                                       ,60,0.4838,0.4878,0.4897,0.4899,0.4815,0.4833,0.4918,0.4924,0.491,0.4913,0.496,0.4978,Urbana
2023,Grasas 2 _ /                                      ,33,0.1197,0.1184,0.1186,0.1206,0.1168,0.1189,0.1202,0.1172,0.1179,0.118,0.119,0.117,Urbana
2023,Huevos                                            ,28,0.1035,0.1087,0.109,0.1103,0.1112,0.1088,0.1072,0.1053,0.1054,0.1067,0.1093,0.1134,Urbana
2023,Leche Fluida *                                    ,106,0.1163,0.1185,0.1165,0.1135,0.1185,0.1135,0.1161,0.119,0.1174,0.1174,0.1135,0.1161,Urbana
2023,Frutas 3_ /                                       ,157,0.154,0.1589,0.1591,0.1576,0.1615,0.1646,0.1682,0.1685,0.1702,0.1786,0.1761,0.1756,Urbana
2023,Frijoles                                          ,79,0.2172,0.2262,0.2252,0.2223,0.2236,0.2261,0.2349,0.2337,0.2337,0.2336,0.2307,0.2267,Urbana
2023,Verduras 4_ /                                     ,127,0.2148,0.2134,0.2074,0.2024,0.2102,0.2202,0.2277,0.2382,0.249,0.2481,0.2356,0.2528,Urbana
